comments,candidate,cleaned_comments
Why won't people insult Christianity,Bawumia,people insult christianity
"Maybe , os3 maybe",Bawumia,maybe o maybe
"We all witness the money some churches gave out to NPP to support the cathedral which they shared among themselves. I don't why Proohet Amoako will back Bawuliar in calling on churches again for support when not even a hospital has been built for 8yrs. 
  Where did we go wrong",Bawumia,witness money church gave npp support cathedral shared among proohet amoako back bawuliar calling church support even hospital built yr go wrong
"Prophet should definitely know that the NPP shared the money for the cathedral among themselves meanwhile not a single hospital, school and road has been constructed. Unemployment rate going higher yet they keep supporting the building of a cathedral while the youths suffer.",Bawumia,prophet definitely know npp shared money cathedral among meanwhile single hospital school road constructed unemployment rate going higher yet keep supporting building cathedral youth suffer
This man needs counselling.,Bawumia,man need counselling
"Is this historical narrative accurate? Of course not. 
  Herod was a PRETENDER to the throne & he became king only bcos he was SAVVY and PATRONIZED Roman. 
  But he didn't build a NEW temple. He RENOVATED and expanded (reconstructed) the First temple (the King Solomon's temple.",Bawumia,historical narrative accurate course herod pretender throne became king bcos savvy patronized roman build new temple renovated expanded reconstructed first temple king solomon temple
Say exactly what the man said and stop fooling,Bawumia,say exactly man said stop fooling
"Bawumia has met almost all the clergy leaders in the country, and not a single one of them pointed out the wickedness going on in the country to him. It is time to trash these religious sentiments and apply common sense",Bawumia,bawumia met almost clergy leader country single one pointed wickedness going country time trash religious sentiment apply common sense
"Quiet interesting from the manservant, this means that......",Bawumia,quiet interesting manservant mean
"If you hear some clergymen in this country spew such nonsense, you would then realised that this christianity business is just a scam",Bawumia,hear clergyman country spew nonsense would realised christianity business scam
Maybe not!!!,Bawumia,maybe
Gyimie nkoaa kwasia if this small country is using such nonsense money,Bawumia,gyimie nkoaa kwasia small country using nonsense money
"These men of God run the church differently from our happenings in Ghanaian society, that's why their are quick to read the bible but refuses to link it to the general wellbeing of the people",Bawumia,men god run church differently happening ghanaian society quick read bible refuse link general wellbeing people
Maybe?...these pastors contribute 50% of where we are now as a country..most of them are driven by money..so the lack the moral right and confidence to speak truth to power,Bawumia,maybe pastor contribute country driven money lack moral right confidence speak truth power
God is NOT interested in building TEMPLES but in using the resources to build human temples So ask what would Jesus say? Not what a prophet says! Fill the pot holes! Not the digged holes!,Bawumia,god interested building temple using resource build human temple ask would jesus say prophet say fill pot hole digged hole
God is not a filth God !!! Look at this man trying to play with people's mind,Bawumia,god filth god look man trying play people mind
junky men called men of God asotor,Bawumia,junky men called men god asotor
If any visionary president could turn all these churches into factories and affordable warehouses this country would prosper within 4 years and unemployment would decrease drastically.,Bawumia,visionary president could turn church factory affordable warehouse country would prosper within year unemployment would decrease drastically
The Clergy men in Ghana is the problem,Bawumia,clergy men ghana problem
Few weeks ago Mahama went to meet the Christian fathers. No one said a thing but now it's wrong for prophets to meet Bawumia,Bawumia,week ago mahama went meet christian father one said thing wrong prophet meet bawumia
Waaaa looook ...ei kooobibini y3 nipa oooo,Bawumia,waaaa looook ei kooobibini nipa oooo
masa God didn't want anything go and sleep,Bawumia,masa god want anything go sleep
"Siasem sei aaaaaa 
  Toilet cleaner be living good life abroad but you are here talking cathedral",Bawumia,siasem sei aaaaaa toilet cleaner living good life abroad talking cathedral
"Nation wreckers, hypocrites holding onto the bible. You lie through your teeth. Corrupt clergymen and women",Bawumia,nation wrecker hypocrite holding onto bible lie teeth corrupt clergyman woman
Sigh,Bawumia,sigh
This is misleading,Bawumia,misleading
Mo nkoaa mo w) Nyame number nti,Bawumia,mo nkoaa mo nyame number nti
me krom Ghana ɛdɛɛ papa. Herh,Bawumia,krom ghana papa herh
So Bawumia will come fill the manhole,Bawumia,bawumia come fill manhole
These so called pastors errh.,Bawumia,called pastor errh
This is not prophecy. He used the phrase 'maybe prophetically….',Bawumia,prophecy used phrase maybe prophetically
The people wey dey clap all we for lash them.,Bawumia,people wey dey clap lash
Panyin Gyimii,Bawumia,panyin gyimii
Where's this one too from ??? Ei so u these Religious leaders ɛnti m'oadwene yɛ paa ?? Ei!,Bawumia,one ei religious leader nti oadwene paa ei
"Did I hear ""Maybe prophetically""? Ha!",Bawumia,hear maybe prophetically ha
Bawumia and those politicians should go and visit Prophet Kofi Oduro. I want to see something,Bawumia,bawumia politician go visit prophet kofi oduro want see something
You caption and the message doesn't sync. Fulfill he said. And you typed fill.,Bawumia,caption message sync fulfill said typed fill
As I said we will continue to suffer as a nation when integrity is absent,Bawumia,said continue suffer nation integrity absent
Our pastors are simply not serious in this country,Bawumia,pastor simply serious country
Why are they not also preaching Christ to the Muslim? SMH,Bawumia,also preaching christ muslim smh
Ghana ankasa wana problem chaw too much,Bawumia,ghana ankasa wana problem chaw much
The man wants an opportunity to obtain a service passport when appointed as a trustee of the cathedral,Bawumia,man want opportunity obtain service passport appointed trustee cathedral
I can tell you on authority that whatever this man said was not based on the word of God and was not led by the holy Spirit. He thinks God knows him he doesn't based on the things coming from his mouth. We will account for everything we did while in the body.,Bawumia,tell authority whatever man said based word god led holy spirit think god know based thing coming mouth account everything body
Fake ones nkwaaaa.,Bawumia,fake one nkwaaaa
Upon all the hardship this is what he talked,Bawumia,upon hardship talked
"Sometimes I don't blame the people who speak against Christianity oo I blame some ""men of God""",Bawumia,sometimes blame people speak christianity oo blame men god
Use ur money to build it not state money,Bawumia,use ur money build state money
"He said may that hole become a burden, the people don't know if they should clap or not. Herh I taya this country waa",Bawumia,said may hole become burden people know clap herh taya country waa
Eiiii…some pple too..wat Dey them ma mind inside..osofo paa..saying this..hmm..after 7th Dec..keep the same energy ok..mmoa,Bawumia,eiiii pple wat dey mind inside osofo paa saying hmm th dec keep energy ok mmoa
Liked this guy until this nonsense.,Bawumia,liked guy nonsense
Who dug the hole??,Bawumia,dug hole
Kwasias3m,Bawumia,kwasias
Stupidity nkoaaa,Bawumia,stupidity nkoaaa
Since when did God start wanting unbelievers to do anything except to repent?,Bawumia,since god start wanting unbeliever anything except repent
Religious nonsense,Bawumia,religious nonsense
"Wants the Muslim to complete the ""dream"" of a Christian who has done nothing but LIE",Bawumia,want muslim complete dream christian done nothing lie
Fous,Bawumia,fous
Boss are you sure? Lol,Bawumia,bos sure lol
You should have started this in your last tenure…,Bawumia,started last tenure
